Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
Sep,deep_ammonia,1.466698683,0.808243966,3.746537063,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Oct,deep_ammonia,0.991522452,0.552511517,2.166096044,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Nov,deep_ammonia,1.485832812,0.977009365,2.883772776,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Dec,deep_ammonia,0.742793805,0.216585964,1.699967388,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Jan,surface_chlorophyll,0.205059798,0.054415343,2.950810914,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Feb,surface_chlorophyll,0.603824911,0.099881617,1.97299104,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Mar,surface_chlorophyll,0.691930952,0.097743568,5.15133172,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Apr,surface_chlorophyll,1.434119877,0.233984459,7.390810178,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
May,surface_chlorophyll,0.981961207,0.117793048,5.609219102,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Jun,surface_chlorophyll,0.602810485,0.12308625,4.502512232,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Jul,surface_chlorophyll,0.994759771,0.061775621,3.84572799,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Aug,surface_chlorophyll,1.260428229,0.060619308,4.615792514,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Sep,surface_chlorophyll,0.681108623,0.086007326,7.834890663,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Oct,surface_chlorophyll,0.352773021,0.069916942,3.695438514,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Nov,surface_chlorophyll,0.476151843,0.110321983,2.193851899,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Dec,surface_chlorophyll,0.418489103,0.050869144,2.062879546,mgm3,5,95,ICES_hydrochemical_database_0_30m_1970-1999
Jan,omniv_zooplankton,0.065546417,0.010387562,0.155039758,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Feb,omniv_zooplankton,0.065339033,0.025868669,0.164413129,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Mar,omniv_zooplankton,0.114143604,0.030120573,0.239641627,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Apr,omniv_zooplankton,0.356114207,0.116396368,0.840257025,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
May,omniv_zooplankton,0.975563912,0.375597803,1.923207678,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jun,omniv_zooplankton,1.253178991,0.625422521,2.171888615,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jul,omniv_zooplankton,1.363584274,0.608368764,2.364134391,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
