Gear_name,Gear_code,Activity_(s/m2/d),Plough_rate_(m2/s)
Pelagic_Trawl+Seine,PTS,4.53E-06,0
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,3.50E-06,8.8
Longline_mackerel,LLm,3.65E-06,0
Beam_Trawl_BT1+BT2,BTf,5.60E-05,54.1
Demersal_Seine,DS,1.08E-07,22.4
Demersal_Otter_Trawl_TR1,OT,1.18E-04,17.1
Gill_Nets+Longline_demersal,LLd,6.64E-05,0
Beam_Trawl_shrimp,BTs,8.49E-06,13.5
Nephrops_Trawl_TR2,NT,5.65E-06,78.9
Creels,CR,4.83E-06,0
Mollusc_Dredge,MD,3.81E-06,22.4
Whaler,Wh,1.48E-08,0
