Gear_name,Gear_code,Scale_value_to_be_applied_to_activity
Pelagic_Trawl+Seine,PTS,1
Otter30-70mm+TR3(sandeel+sprat),SST,1
Longline_mackerel,LLm,1
Beam_Trawl_BT1+BT2,BTf,1
Demersal_Seine,DS,1
Demersal_Otter_Trawl_TR1,OT,1
Gill_Nets+Longline_demersal,LLd,1
Beam_Trawl_shrimp,BTs,1
Nephrops_Trawl_TR3,NT,1
Creels,CR,1
Mollusc_Dredge,MD,1
Whaler,Wh,1
