Gear_name,Gear_code,Net_profit_margin
Pelagic_Trawl+Seine,PT,0.022564
Sandeel+sprat_trawl(Otter30-70mm+TR3),PS,0.022564
Longline_mackerel,LLm,0.03735
Beam_Trawl_BT1+BT2,BTf,-0.07277
Demersal_Seine,DS,0.08986
Demersal_Otter_Trawl_TR1,OT,0.067613
Gill_Nets+Longline_demersal,LLd,0.1178
Beam_Trawl_shrimp,BTs,-0.16175
Nephrops_Trawl_TR2,NT,0.089756
Creels,CR,0.143943
Mollusc_Dredge,MD,0.146102
KelpHarvester,ua,1
